HP_rating;T_dist;T_outside;P_el;COP
4;30;-20;1,5;1,48
4;30;-15;1,5;2,16
4;30;-10;1,5;2,73
4;30;-7;1,5;3,07
4;30;-2;1,4;3,56
4;30;2;1,2;4,12
4;30;7;1;5,3
4;30;12;0,8;6,87
4;30;15;0,8;7,2
4;30;20;0,7;8,14
4;35;-20;1,7;1,29
4;35;-15;1,7;1,8
4;35;-10;1,7;2,36
4;35;-7;1,7;2,81
4;35;-2;1,5;3,13
4;35;2;1,3;3,59
4;35;7;1,1;4,57
4;35;12;0,9;6,05
4;35;15;0,8;6,53
4;35;20;0,8;7,22
4;40;-20;1,9;1,15
4;40;-15;1,9;1,67
4;40;-10;1,9;2,12
4;40;-7;1,9;2,4
4;40;-2;1,7;2,71
4;40;2;1,5;3,05
4;40;7;1,3;3,82
4;40;12;1;5
4;40;15;1;5,27
4;40;20;1;5,97
4;45;-20;2,1;1,01
4;45;-15;2,2;1,36
4;45;-10;2,1;1,81
4;45;-7;2,1;2,1
4;45;-2;1,9;2,41
4;45;2;1,7;2,71
4;45;7;1,4;3,4
4;45;12;1,2;4,06
4;45;15;1,2;4,22
4;45;20;1,1;4,88
4;50;-20;2,3;0,89
4;50;-15;2,3;1,22
4;50;-10;2,3;1,57
4;50;-7;2,3;1,78
4;50;-2;2,1;2,03
4;50;2;1,9;2,29
4;50;7;1,7;2,83
4;50;12;1,5;3,22
4;50;15;1,4;3,47
4;50;20;1,3;3,92
4;55;-20;;0,8
4;55;-15;2,4;1,08
4;55;-10;2,4;1,39
4;55;-7;2,4;1,58
4;55;-2;2,2;1,85
4;55;2;2;2,11
4;55;7;1,8;2,58
4;55;12;1,5;3,01
4;55;15;1,5;3,13
4;55;20;1,5;3,37
6;30;-20;1,9;1,67
6;30;-15;1,9;2,22
6;30;-10;1,8;2,72
6;30;-7;1,8;3,03
6;30;-2;1,8;3,44
6;30;2;1,8;3,74
6;30;7;1,8;4,61
6;30;12;1,8;5,05
6;30;15;1,8;5,6
6;30;20;1,8;6,54
6;35;-20;2,1;1,47
6;35;-15;2,1;1,94
6;35;-10;2;2,37
6;35;-7;2;2,64
6;35;-2;2;3,1
6;35;2;1,9;3,37
6;35;7;2;4,2
6;35;12;2;4,6
6;35;15;1,9;5,12
6;35;20;1,9;5,99
6;40;-20;2,4;1,24
6;40;-15;2,3;1,64
6;40;-10;2,3;2,1
6;40;-7;2,2;2,38
6;40;-2;2,1;2,82
6;40;2;2,1;3
6;40;7;2,2;3,8
6;40;12;2,1;4,14
6;40;15;2,1;4,55
6;40;20;2,1;5,29
6;45;-20;2,5;1,1
6;45;-15;2,5;1,47
6;45;-10;2,4;1,91
6;45;-7;2,4;2,19
6;45;-2;2,3;2,5
6;45;2;2,2;2,77
6;45;7;2,3;3,43
6;45;12;2,3;3,66
6;45;15;2,3;4,03
6;45;20;2,2;4,66
6;50;-20;2,6;1,05
6;50;-15;2,5;1,4
6;50;-10;2,5;1,8
6;50;-7;2,5;2,04
6;50;-2;2,4;2,35
6;50;2;2,3;2,61
6;50;7;2,4;3,14
6;50;12;2,4;3,35
6;50;15;2,4;3,65
6;50;20;2,4;4,19
6;55;-20;;
6;55;-15;2,6;1,28
6;55;-10;2,5;1,61
6;55;-7;2,5;1,82
6;55;-2;2,5;2,09
6;55;2;2,4;2,29
6;55;7;2,5;2,85
6;55;12;2,5;3,04
6;55;15;2,5;3,3
6;55;20;2,5;3,77
8;30;-20;2,4;1,57
8;30;-15;2,4;2,08
8;30;-10;2,3;2,55
8;30;-7;2,3;2,84
8;30;-2;2,3;3,24
8;30;2;2,3;3,51
8;30;7;2,4;4,33
8;30;12;2,3;4,76
8;30;15;2,3;5,28
8;30;20;2,3;6,14
8;35;-20;2,7;1,38
8;35;-15;2,6;1,82
8;35;-10;2,6;2,23
8;35;-7;2,6;2,48
8;35;-2;2,5;2,92
8;35;2;2,4;3,17
8;35;7;2,5;3,94
8;35;12;2,5;4,32
8;35;15;2,4;4,8
8;35;20;2,4;5,66
8;40;-20;3;1,16
8;40;-15;2,9;1,54
8;40;-10;2,9;1,98
8;40;-7;2,8;2,24
8;40;-2;2,7;2,66
8;40;2;2,6;2,83
